trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.7, 'e': 0.18480456394854633}",30,11,28.11353599670675,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.18295651830906087}",25,10,-3.1857228483152324,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18112695312597027}",30,18,20.83509022595896,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.17931568359471056}",20,8,-27.215573499408254,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.7, 'e': 0.17752252675876345}",20,2,14.943487111162701,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.17574730149117582}",30,14,12.97983814450604,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.17398982847626407}",20,10,16.950614601760588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.17224993019150142}",20,0,35.46712448673468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.7, 'e': 0.1705274308895864}",20,10,-7.300356218754877,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.16882215658069055}",25,0,-26.145328954489358,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
178,False,"{'a': 0.7, 'e': 0.16713393501488363}",20,13,14.627715798151733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.16546259566473479}",25,0,25.845856773552512,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.7, 'e': 0.16380796970808745}",25,20,9.943284701582616,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.16216989001100657}",30,10,21.10371040964012,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.1605481911108965}",20,0,1.4306537876822045,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
183,False,"{'a': 0.7, 'e': 0.15894270919978754}",20,12,16.8496256811838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.15735328210778965}",30,15,-11.343415899472717,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.7, 'e': 0.15577974928671176}",25,8,12.908050888560238,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
186,False,"{'a': 0.7, 'e': 0.15422195179384465}",25,12,21.808194427468507,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.7, 'e': 0.1526797322759062}",25,5,-37.30129691664034,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
188,False,"{'a': 0.7, 'e': 0.15115293495314713}",30,11,29.438509213272418,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.7, 'e': 0.14964140560361566}",25,0,-33.29488218439101,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
190,False,"{'a': 0.7, 'e': 0.1481449915475795}",25,13,-13.836152658354997,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
191,False,"{'a': 0.7, 'e': 0.1466635416321037}",20,0,-32.44794718745131,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
192,False,"{'a': 0.7, 'e': 0.14519690621578268}",25,20,12.169546867447172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.7, 'e': 0.14374493715362485}",20,13,13.543916011452016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.7, 'e': 0.1423074877820886}",35,20,19.761893893505945,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.7, 'e': 0.1408844129042677}",20,10,16.99768060364075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.7, 'e': 0.13947556877522502}",25,5,-17.491998129666513,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
197,False,"{'a': 0.7, 'e': 0.13808081308747278}",20,9,-2.9246092623166424,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.7, 'e': 0.13670000495659804}",20,0,-14.432579442051892,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
199,False,"{'a': 0.7, 'e': 0.13533300490703207}",30,3,39.68814470062801,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.7, 'e': 0.13397967485796175}",30,20,4.296304421177289,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.7, 'e': 0.13263987810938213}",30,16,24.385585119305635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.7, 'e': 0.1313134793282883}",20,13,15.84409175182103,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
