trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
252,False,"{'a': 0.7, 'e': 0.07944545169055392}",20,0,22.10836348641612,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.7, 'e': 0.07865099717364837}",35,21,26.48648634147617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.7, 'e': 0.07786448720191189}",20,4,-26.121487597799316,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
255,False,"{'a': 0.7, 'e': 0.07708584232989277}",25,14,17.808888752553532,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.7, 'e': 0.07631498390659384}",25,13,-18.063595566221228,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.7, 'e': 0.07555183406752791}",20,8,22.440874142238673,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.7, 'e': 0.07479631572685264}",20,6,20.411480754234372,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.7, 'e': 0.07404835256958411}",20,14,8.312647180350464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.7, 'e': 0.07330786904388827}",30,16,12.877754217550912,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.7, 'e': 0.07257479035344938}",20,0,16.96999307805812,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.7, 'e': 0.07184904244991488}",20,12,16.66634282067253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.7, 'e': 0.07113055202541574}",25,15,-25.786905734180944,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
264,False,"{'a': 0.7, 'e': 0.07041924650516158}",20,7,19.77081903957889,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.7, 'e': 0.06971505404010997}",30,0,10.700978848019659,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
266,False,"{'a': 0.7, 'e': 0.06901790349970886}",20,3,-7.411675012798768,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
267,False,"{'a': 0.7, 'e': 0.06832772446471178}",25,9,-18.67896255733703,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.7, 'e': 0.06764444722006466}",25,10,29.24698452243416,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.7, 'e': 0.066968002747864}",25,12,20.232101079764007,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.7, 'e': 0.06629832272038537}",25,17,12.700041584757674,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
